,text,text-corrected,id.x,inTrain,username,date,retweets,favorites,geo,mentions,hashtags,id.y,permalink,X
93,@Montel_Williams we as parents have the right to opt our children out of these insane tests #Pearson1984 #parcc pic.twitter.com/Lt43FV2eH1,,100002,1,dixiechick013,3/17/15,0,0,,@Montel_Williams,#Pearson1984 #parcc,5.78E+17,https://twitter.com/dixiechick013/status/577825406864125952,
94,@NancyOsborne180 @BadassTeachersA Teachers probably can't see #PARCC since it's full of errors - guarantees low scores w/teachers to blame.,,100275,1,1unionteacher,3/15/15,0,0,,@NancyOsborne180 @BadassTeachersA,#PARCC,5.77E+17,https://twitter.com/1unionteacher/status/577302771692515328,
95,@NEAToday @washingtonpost So then let's fund public schools not charters and NOT #Pearson ! #stopsbac #whyIrefuse #refusethetest,,100163,1,OptOutMadisonCT,3/17/15,0,0,,@NEAToday @washingtonpost,#Pearson #stopsbac #whyIrefuse #refusethetest,5.78E+17,https://twitter.com/OptOutMadisonCT/status/577860144744280065,
96,@NewTimesBroward join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@NewTimesBroward join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,@NicholasFerroni @LesaWilbert #satchat #PARCC I'm becoming more skeptical because it doesn't seem so student centered as intended or sold,,100326,1,Bruce_Mims,3/15/15,0,0,,@NicholasFerroni @LesaWilbert,#satchat #PARCC,5.77E+17,https://twitter.com/Bruce_Mims/status/577174449998327808,
98,@NYBATs There is no empirical evidence that #CCSS are best practices. Her comparison is a non-sequitur #PARCC #pearsoniswatching #edchat,,100269,1,bledwine,3/16/15,4,3,,@NYBATs,#CCSS #PARCC #pearsoniswatching #edchat,5.78E+17,https://twitter.com/bledwine/status/577597846020612097,
99,@NYGovCuomo when was the last time you stepped into a SE class? your ideas on education are harmful to our kids #nysgov&thealmighty$ #optout,,60,1,megkeosut,3/31/15,0,0,,@NYGovCuomo,#nysgov #optout,5.83E+17,https://twitter.com/megkeosut/status/583065403150196736,
100,"@nyschoolboards Only measure used to determine failing"" school is test scores REFUSE the Tests - problem solved #pearsoniswatching""",,100291,1,CMZR,3/15/15,7,1,,@nyschoolboards,#pearsoniswatching,5.77E+17,https://twitter.com/CMZR/status/577228817728729088,
101,"@nyschoolboards Why should our kids take the test before they are fixed""? #OptOut #PEARSON.""",,100293,1,jenfatone,3/15/15,0,1,,@nyschoolboards,#OptOut #PEARSON,5.77E+17,https://twitter.com/jenfatone/status/577226731528056832,
102,@NYSenate All of you are a joke. Wait til your next elections. See Ya! @STA_Tweets @mark_kirsch #OptOut,,19,1,C_Derrenbacher,3/31/15,0,1,,@NYSenate @STA_Tweets @mark_kirsch,#OptOut,5.83E+17,https://twitter.com/C_Derrenbacher/status/583106824183902208,
103,@nysut @Stoptesting15 State budget overwhelmingly passes Does #OptOut become serious discussion now? How do we avoid hurting district #NYS,,20,1,C_Derrenbacher,3/31/15,0,0,,@nysut @Stoptesting15,#OptOut #NYS,5.83E+17,https://twitter.com/C_Derrenbacher/status/583106201271033856,
104,@OHEducation Those poor kids. Adm you should be ashamed of yourselves for allowing such hogwash disguised as assessment. Parents~ #OptOut!,,100246,1,ce_dennis,3/16/15,0,0,,@OHEducation,#OptOut,5.78E+17,https://twitter.com/ce_dennis/status/577630014516117504,
105,@OptOutAZ #azmerit #optout #parentchoice http://www.livingindialogue.com/common-core-standards-ten-colossal-errors/ÔøΩ__ÔøΩ_ #stopcommoncoreaz #stopcommoncore #ccot #AZ @dougducey @_DianeDouglas,@OptOutAZ #azmerit #optout #parentchoice http://www.livingindialogue.com/common-core-standards-ten-colossal-errors/ … #stopcommoncoreaz #stopcommoncore #ccot #AZ @dougducey @_DianeDouglas,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,@oreillyfactor Imagine if you were still teaching?? http://www.foxnews.com/us/2015/03/16/spying-on-students-education-publisher-pearson-monitoring-social-media-activity/#pearsoniswatchingÔøΩ__ÔøΩ_ @UnitedOptOut @SavOurSchoolsNJ #PARCC,@oreillyfactor Imagine if you were still teaching?? http://www.foxnews.com/us/2015/03/16/spying-on-students-education-publisher-pearson-monitoring-social-media-activity/#pearsoniswatching … @UnitedOptOut @SavOurSchoolsNJ #PARCC,100222,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,@PARCCPlace How is it possible that an UNSUCCESSFUL test can prepare students for success? #PARCC is not working #pearson #noparcc,,100206,1,OUSTtrump,3/17/15,1,1,,@PARCCPlace,#PARCC #pearson #noparcc,5.78E+17,https://twitter.com/OUSTtrump/status/577785974094106625,
108,@PARCCPlace Reflect? Or measure? Your test doesn't teach anything. That's a sales pitch. How well does it measure? Do you care? #PARCC,,100262,1,ZoeClaireWisdom,3/16/15,0,2,,@PARCCPlace,#PARCC,5.78E+17,https://twitter.com/ZoeClaireWisdom/status/577604912546254849,
109,@PARCCPlace unethical money mongering corporation off the backs of kids. Monopolize much?hows fed investigation going? #pearsoniswatching,,100089,1,CaputoTcg7213,3/23/15,4,0,,@PARCCPlace,#pearsoniswatching,5.80E+17,https://twitter.com/CaputoTcg7213/status/580021670179565568,
110,@paterson_nick @JohnGalvinBK purpose of opt out is to do exactly that. One way or another need to elim test & punish.,,29,1,ChrisCerrone15,3/31/15,0,0,,@paterson_nick @JohnGalvinBK,,5.83E+17,https://twitter.com/ChrisCerrone15/status/583095625836789760,
111,"@PatriciaFahy109 With a heavy heart I vote in the affirmative. We've punted to the Regents. WILL SUPPORT #optout pic.twitter.com/Kt9pRoMk3t""",,27,1,tfarley1969,3/31/15,2,0,,@PatriciaFahy109,#optout,5.83E+17,https://twitter.com/tfarley1969/status/583099314597134337,
112,@pattibacchus @jsteffenhagen @VSB39 join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #ccss,jsteffenhagen,102,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,@pearson #parcc is not standardized in any way! Our teachers know our kids best. #refuseparcc #noparccing,,100192,1,pjpdeluca,3/17/15,0,0,,@pearson,#parcc #refuseparcc #noparccing,5.78E+17,https://twitter.com/pjpdeluca/status/577831798106902529,
114,@pearson doesn't know music builds brain connections #PARCC can't test it @UnitedOptOut #TBATS @BadassTeachersApic.twitter.com/QH3qtws4bT,,100132,1,NancyOsborne180,3/21/15,6,0,,@pearson @UnitedOptOut @BadassTeachersApic,#PARCC #TBATS,5.79E+17,https://twitter.com/NancyOsborne180/status/579441298454814720,
115,@pearson Especially because you've effectively bound educators' hands w/ #CC and #PARCC @KelleyDeTrolio @Quinnrob76 @NJEA @SavOurSchoolsNJ,,100199,1,christybarber,3/17/15,2,2,,@pearson @KelleyDeTrolio @Quinnrob76 @NJEA @SavOurSchoolsNJ,#CC #PARCC,5.78E+17,https://twitter.com/christybarber/status/577822262470017024,
116,@pearson my children will never take your test and you will never invade my family's privacy #noparccing #pearsoniswatching,,100001,1,ld1018millus,3/17/15,0,0,,@pearson,#noparccing #pearsoniswatching,5.78E+17,https://twitter.com/ld1018millus/status/577826095409528832,
117,@Pearson reports #PARCC cheating via social media in 6 states - http://buff.ly/1E7WXfe #edtech #edchat #testing,,56,1,TheConnector901,3/31/15,0,0,,@Pearson,#PARCC #edtech #edchat #testing,5.83E+17,https://twitter.com/TheConnector901/status/583068322729689088,
118,@pearson Teachers & parents will unite against your #BigBrother tactics. High stakes tests don't negate freedom of speech. #PARCC,,100282,1,DanGreenberg17,3/15/15,0,0,,@pearson,#BigBrother #PARCC,5.77E+17,https://twitter.com/DanGreenberg17/status/577282354634452993,
119,@pearson We do need to feed our children properly. That's why we object to the CCRAP you are shoving down their throats. #parcc #pearson,,100004,1,OUSTtrump,3/17/15,0,2,,@pearson,#parcc #pearson,5.78E+17,https://twitter.com/OUSTtrump/status/577888515616210944,
120,"@pearson Who is wisest?"" Is an opinionated question and therefore has no wrong answer. #PARCC #GodHelpAmerica""",,154,1,KhalilNMe,3/31/15,0,0,,@pearson,#PARCC #GodHelpAmerica,5.83E+17,https://twitter.com/KhalilNMe/status/583035287137320960,
121,@PearsonNorthAm You've been put on notice. Your #PARCC test has awakened parents and educators alike. #PARCCWALKOUT,,100194,1,AdultChildofPAS,3/17/15,0,0,,@PearsonNorthAm,#PARCC #PARCCWALKOUT,5.78E+17,https://twitter.com/AdultChildofPAS/status/577829621116329984,
122,@PippinMusical join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@PippinMusical join us in,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,@premiuz join us https://www.facebook.com/groups/OptOutBroward/?pnref=storyÔøΩ__ÔøΩ_ #whyirefuse #optout #CCSS,@premiuz join us https://www.facebook.com/groups/OptOutBroward/?pnref=story … #whyirefuse #optout #CCSS,104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,@PwrOfthePEN @HuffPostEdu none of us #optout our kids b/c we are afraid of challenges! We are sick of the lack of teaching. #parcc,,100250,1,optoutftl,3/16/15,0,1,,@PwrOfthePEN @HuffPostEdu,#optout #parcc,5.78E+17,https://twitter.com/optoutftl/status/577626218893221888,
125,"@RaymondWWalter invokes #OptOut I am not going to sell my children out"" Vote No on #nybudget #buffalo @nysut @MikeDeely @westsenecata""",,59,1,cherylhughes11,3/31/15,23,14,,@RaymondWWalter @nysut @MikeDeely @westsenecata,#OptOut #nybudget #buffalo,5.83E+17,https://twitter.com/cherylhughes11/status/583066133772787712,
126,@RedBroward @cityofsunrise #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@RedBroward @cityofsunrise #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ …,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,@rsaeks @PhillyLitigator @Jeffreyweissdmn @PARCCPlace The (futile) surveillance issue=secondary 2 the overall #PARCC impracticability issue.,,100010,1,AssessWell,3/17/15,0,0,,@rsaeks @PhillyLitigator @Jeffreyweissdmn @PARCCPlace,#PARCC,5.78E+17,https://twitter.com/AssessWell/status/577881327325880320,
128,@SaveTuxedo #tischisthemistake @NYSEDNews #education #privatization #PARCC #Pearson MUST STOP @VTAUnionpic.twitter.com/nDFh5yf1Pj,,100149,1,dabuffFCSDBoE,3/17/15,0,0,,@SaveTuxedo @NYSEDNews @VTAUnionpic,#tischisthemistake #education #privatization #PARCC #Pearson,5.78E+17,https://twitter.com/dabuffFCSDBoE/status/577885327060242434,
129,@ScottMcGee12 #tischisthemistake @NYSEDNews #education #privatization #PARCC #Pearson MUST STOPpic.twitter.com/KdhtbikuUo,,100005,1,dabuffFCSDBoE,3/17/15,0,0,,@ScottMcGee12 @NYSEDNews,#tischisthemistake #education #privatization #PARCC #Pearson,5.78E+17,https://twitter.com/dabuffFCSDBoE/status/577884378182848512,
130,@SentinelPaula join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@SentinelPaula join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,@sharemylesson Testocracy diminishes our democracy but feeds the oligarchy even more money. #PearsonIsWatching #WhyIRefuse,,100055,1,svme,3/24/15,0,1,,@sharemylesson,#PearsonIsWatching #WhyIRefuse,5.81E+17,https://twitter.com/svme/status/580508410187264002,
132,@SunSentinel #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@SunSentinel #optout join us in #optout #fsatesting https://www.facebook.com/groups/OptOutBroward/ …,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"@TeachersTweeeet: The one size fits all approach of standardized testing is convenient but lazy."" ~James Dyson #pearsoniswatching #TBATS""",,100115,1,NancyOsborne180,3/22/15,4,0,,@TeachersTweeeet,#pearsoniswatching #TBATS,5.80E+17,https://twitter.com/NancyOsborne180/status/579781048344522752,
134,@TeaPartyBroward @LibertyMaverick #optout https://www.youtube.com/watch?v=Hou4J1Y_m1IÔøΩ__ÔøΩ_,"@TeaPartyBroward @LibertyMaverick Will Arne send in the national guard against white suburban moms?"" #obama #optout #stopcommoncore""",64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,@TeaPartyBroward join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ÔøΩ__ÔøΩ_,@TeaPartyBroward join us in #optout #fsatesting #stopcommoncore https://www.facebook.com/groups/OptOutBroward/ …,86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,@thausman TY for your admission about students being confused when taking the #SBAC questions. #waleg #waedu,,100113,1,penasplace,3/22/15,1,0,,@thausman,#SBAC #waleg #waedu,5.80E+17,https://twitter.com/penasplace/status/579785725446520832,
137,@tomjhall @pearson Hopefully it doesn't involve #parcc or #commoncore or #pearson Our child's education is not a commodity. #parcctest,,100146,1,OUSTtrump,3/17/15,0,0,,@tomjhall @pearson,#parcc #commoncore #pearson #parcctest,5.78E+17,https://twitter.com/OUSTtrump/status/577889463130419200,
138,"@UberFacts: Reindeer eat Fly Agaric/Magic Mushrooms to get high."" #pearsoniswatching""","@UberFacts: Reindeer eat Fly Agaric/Magic Mushrooms to get high."" #pearsoniswatching""",31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,@valeriestrauss another company name in a #parcc test #Lululemon please follow the $ #pearson doing product placement #mug root beer story,,100172,1,NancyStern4,3/17/15,0,0,,@valeriestrauss,#parcc #Lululemon #pearson #mug,5.78E+17,https://twitter.com/NancyStern4/status/577849216740917248,
140,#aPARCCalypse now #parcc's&rec #everybodyhatesparcc,,22,1,BSPARCCAnwsers,3/31/15,1,3,,,#aPARCCalypse #parcc #everybodyhatesparcc,5.83E+17,https://twitter.com/BSPARCCAnwsers/status/583104049605554176,
141,#BastaYa! Hay unas preguntas que no tienen logico.  Hay unas preguntas que no tienen logico. Exactly. #optout Please watch and share far and wide. https://www.youtube.com/watch?v=94LQQz18MbI&app=desktopÔøΩ__ÔøΩ_,tweet no longer available from user,100057,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,#CommonCore Control Starts With Kindergartners~ http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/11/kindergartners-asked-to-check-out-college-scholarships-and-select-jobs/?postshare=4521427125154809ÔøΩ__ÔøΩ_ #StopCommonCore #OptOut #RedNationRising,#CommonCore Control Starts With Kindergartners~ http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/11/kindergartners-asked-to-check-out-college-scholarships-and-select-jobs/?postshare=4521427125154809 … #StopCommonCore #OptOut #RedNationRising,100031,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,#CommonCore: Opting out sends a 'message' parents say http://lohud.us/1C8MRYiÔøΩ_ via @lohud #optout @NYSUT @NYSED @NYSchoolSupts @NYSAPE,#CommonCore: Opting out sends a 'message' http://lohud.us/1C8MRYi  <~ It's your child your right. #optout #OptOutAZ #refusethetest,100033,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,5/5/15,0,1,,,#GAFE #PARCC #gafechat #edchatma,5.96E+17,https://twitter.com/teachargument/status/595756187745943553,
145,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,4/21/15,0,1,,,#GAFE #PARCC #gafechat #edchatma,5.91E+17,https://twitter.com/teachargument/status/590682766787895296,
146,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,4/7/15,0,0,,,#GAFE #PARCC #gafechat #edchatma,5.86E+17,https://twitter.com/teachargument/status/585612165329059842,
147,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,3/31/15,0,0,,,#GAFE #PARCC #gafechat #edchatma,5.83E+17,https://twitter.com/teachargument/status/583072607710404608,
148,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,3/24/15,0,0,,,#GAFE #PARCC #gafechat #edchatma,5.81E+17,https://twitter.com/teachargument/status/580535867468591105,
149,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,3/17/15,0,0,,,#GAFE #PARCC #gafechat #edchatma,5.78E+17,https://twitter.com/teachargument/status/577999187498967043,
150,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,3/3/15,0,0,,,#GAFE #PARCC #gafechat #edchatma,5.73E+17,https://twitter.com/teachargument/status/572940872171581442,
151,#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma,,51,1,teachargument,2/24/15,1,2,,,#GAFE #PARCC #gafechat #edchatma,5.70E+17,https://twitter.com/teachargument/status/570404109603495936,
152,#Illinois is only one of 12 schools using #PARCC - is it worth it? #OptOut #TestingSeason,,130,1,KindlingGroup,3/31/15,0,0,,,#Illinois #PARCC #OptOut #TestingSeason,5.83E+17,https://twitter.com/KindlingGroup/status/583041629365223427,
153,#notoonesizefitsall you can't push a square peg into a round hole #optout of #CC #mychildmatters #kidscomefirst support @JamesTedisco bill,,30,1,lisabruno1,3/31/15,0,1,,@JamesTedisco,#notoonesizefitsall #optout #CC #mychildmatters #kidscomefirst,5.83E+17,https://twitter.com/lisabruno1/status/583093594761912321,
154,#NYSUT says parents have right to opt students out of state testing http://www.watertowndailytimes.com/news05/nysut-says-parents-have-right-to-opt-students-out-of-state-testing-20150315ÔøΩ__ÔøΩ_ #optout,#NYSUT says parents have right to opt students out of state testing http://www.watertowndailytimes.com/news05/nysut-says-parents-have-right-to-opt-students-out-of-state-testing-20150315 … #optout,100324,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,#optout,,50,1,MondayNiters21,4/13/15,0,0,,,#optout,5.88E+17,https://twitter.com/MondayNiters21/status/587724123478044674,
156,#optout,,50,1,TylerHaselton,4/13/15,0,1,,,#optout,5.88E+17,https://twitter.com/TylerHaselton/status/587669470883098624,
157,#optout,,50,1,CQuijanoArt,4/10/15,0,0,,,#optout,5.87E+17,https://twitter.com/CQuijanoArt/status/586530541115154432,
158,#optout,,50,1,KaitHall21,4/2/15,0,1,,,#optout,5.84E+17,https://twitter.com/KaitHall21/status/583683934694809600,
159,#optout,,50,1,jessssky,3/31/15,0,0,,,#optout,5.83E+17,https://twitter.com/jessssky/status/583073194883436545,
160,#optout,,50,1,Marsi8cats,3/31/15,0,0,,,#optout,5.83E+17,https://twitter.com/Marsi8cats/status/583009738855718913,
161,#optout,,50,1,Saffronium,3/17/15,1,1,,,#optout,5.78E+17,https://twitter.com/Saffronium/status/577821861997838336,
162,#optout,,50,1,therarejaCra,2/22/15,0,0,,,#optout,5.70E+17,https://twitter.com/therarejaCra/status/569530467873120256,
163,#optout,,50,1,nyspublicedu,1/17/15,0,0,,,#optout,5.57E+17,https://twitter.com/nyspublicedu/status/556609711567806464,
164,#optout,,50,1,Cns920,1/16/15,0,0,,,#optout,5.56E+17,https://twitter.com/Cns920/status/556200362420355072,
165,"#optout chants! @McFiredogg: Parents Know/ What is Best/Break the Machine/Refuse the Tests.""""","#optout chants!  @McFiredogg: Parents Know/ What is Best/Break the Machine/Refuse the Tests.""""",100034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,#optout needs school leaders not politicians. http://bustedpencils.com/2015/03/optout-needs-school-leaders-not-politicians/ÔøΩ__ÔøΩ_,#optout needs school leaders not politicians. Are their any “leaders” ready to join us in battle? http://bustedpencils.com/2015/03/optout-needs-school-leaders-not-politicians/ …,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,#Optout? Homeschoolers were doing that before it was cool. #homeschool #privacy,,100242,1,Bye_Illinois,3/16/15,0,1,,,#Optout #homeschool #privacy,5.78E+17,https://twitter.com/Bye_Illinois/status/577635614859874304,
168,#PARCC - People Are Revolting Crappy Curriculum,,100162,1,MiaMontalvo_,3/17/15,2,10,,,#PARCC,5.78E+17,https://twitter.com/MiaMontalvo_/status/577860645913300992,
169,#parcc #sbac #mstep refuse the test stand for what is right stop the abuse on our youth schools & teachers!!!,,100305,1,tbutcher,3/15/15,0,0,,,#parcc #sbac #mstep,5.77E+17,https://twitter.com/tbutcher/status/577100047973773312,
170,#PARCC #SBAC know their tests are bad. That's why teachers not allowed to look. http://bit.ly/1CMSQW7 #TBATSpic.twitter.com/j3wX9EEgur,,100121,1,NancyOsborne180,3/22/15,3,1,,,#PARCC #SBAC #TBATSpic,5.80E+17,https://twitter.com/NancyOsborne180/status/579704618554363904,
171,#PARCC and #Pearson need to spend more time learning the 6Ps - Proper Prior Planning Prevents Poor Performance... @EduShyster,,100259,1,edbobgreen,3/16/15,0,1,,@EduShyster,#PARCC #Pearson,5.78E+17,https://twitter.com/edbobgreen/status/577614637610467328,
172,#PARCC Answer Picasso. Question why make kids read 300 wds per min. #pearsoniswatching pic.twitter.com/5xQxY2mJ5d @BadassTeachersA #TBATS,,100233,1,NancyOsborne180,3/16/15,3,2,,@BadassTeachersA,#PARCC #pearsoniswatching #TBATS,5.78E+17,https://twitter.com/NancyOsborne180/status/577648769702957057,
173,#PARCC bring back the math NJASK! it is a fair assessment unlike the PARCC which tests reading comprehension instead of math skills!,,100037,1,katebrymom,3/25/15,0,0,,,#PARCC,5.81E+17,https://twitter.com/katebrymom/status/580668590333923328,
174,#PARCC Day 1 IT summary. The good: ProctorCaching rules! The bad: TestNav on Chromebooks is buggy and a total mess of an app. Fail!,,100144,1,TechieGeekMike,3/17/15,0,1,,,#PARCC,5.78E+17,https://twitter.com/TechieGeekMike/status/577890309717229568,
175,#PARCC follow the money in NJ http://www.nj.com/education/2015/03/parcc_exams_following_the_money_behind_njs_costlie.html#incart_riverÔøΩ__ÔøΩ_,#PARCC follow the money in NJ,100108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,#PARCC has become tipping point uniting parents across state around bad ep policies lost instructional time overemphasis on testing.,,100078,1,ILRaiseYourHand,3/23/15,11,4,,,#PARCC,5.80E+17,https://twitter.com/ILRaiseYourHand/status/580143816994246656,
177,"#PARCC has false teacher testimonials. Not surprised. @AngryNMTeacher: @PARCCPlace a poll that never actually went to teachers.false data._—ù""","#PARCC has false teacher testimonials. Not surprised. @AngryNMTeacher: @PARCCPlace a poll that never actually went to teachers.false data.”""",100203,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,#parcc is so basic. I'd rather clean toilets at six flags,,100153,1,SmithTrever,3/17/15,1,0,,,#parcc,5.78E+17,https://twitter.com/SmithTrever/status/577873428146823168,
179,#PARCC is wasting my day.,,100191,1,KerPaoPao,3/17/15,1,0,,,#PARCC,5.78E+17,https://twitter.com/KerPaoPao/status/577833919602667520,
180,#PARCC It's another example of a for-profit corporation making a profit off education.,,100107,1,NJOptOut,3/22/15,7,5,,,#PARCC,5.80E+17,https://twitter.com/NJOptOut/status/579827691286765568,
181,#PARCC It's another example of a for-profit corporation making a profit off education. #myherojohnoliver @LastWeekTonight @iamjohnoliver,,100104,1,rwkaiden,3/22/15,6,1,,@LastWeekTonight @iamjohnoliver,#PARCC #myherojohnoliver,5.80E+17,https://twitter.com/rwkaiden/status/579834738678075392,
182,#PARCC It's another example of a for-profit corporation making a profit off education. http://www.nj.com/education/2015/03/parcc_exams_how_pearson_landed_the_deal_to_produce.htmlÔøΩ__ÔøΩ_,#PARCC It's another example of a for-profit corporation making a profit off education.,100056,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,#PARCC It's another example of a for-profit corporation making a profit off education. http://www.nj.com/education/2015/03/parcc_exams_how_pearson_landed_the_deal_to_produce.htmlÔøΩ__ÔøΩ_,#PARCC It's another example of a for-profit corporation making a profit off education.,100106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,#PARCC may be controversial but this @EducationWeek story shows it's also a big moneymaker for testing companies: http://ow.ly/Kp6yfÔøΩ_.,#PARCC may be controversial but this @EducationWeek story shows it's also a big moneymaker for testing companies: http://ow.ly/Kp6yf .,100190,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,#PARCC only pawn in game of life!,,100175,1,morbit,3/17/15,0,0,,,#PARCC,5.78E+17,https://twitter.com/morbit/status/577847938988244993,
186,#PARCC Question Is this a Renoir? Answer: Fund ARTS not TESTS @BadassTeachersA #TBATS #pearsoniswatching pic.twitter.com/qi3plbyvbB,,100237,1,NancyOsborne180,3/16/15,2,2,,@BadassTeachersA,#PARCC #TBATS #pearsoniswatching,5.78E+17,https://twitter.com/NancyOsborne180/status/577648282194821122,
187,#parcc sucks major donkey balls,,100155,1,MeganMcAndrews,3/17/15,5,7,,,#parcc,5.78E+17,https://twitter.com/MeganMcAndrews/status/577870917088329728,
188,#parcc was the biggest load of bull shit I've ever taken,,100156,1,MeganMcAndrews,3/17/15,1,5,,,#parcc,5.78E+17,https://twitter.com/MeganMcAndrews/status/577869802061967360,
189,#pearsoniswatching #everychildislearning #studenttakeover Good for RI Students for standing up to what is right! #noparcc Kids r not robots!,,100268,1,pjpdeluca,3/16/15,1,2,,,#pearsoniswatching #everychildislearning #studenttakeover #noparcc,5.78E+17,https://twitter.com/pjpdeluca/status/577598840422952960,
190,#pearsoniswatching #PARCC #SBAC Too many Questions. YOU take the tests! You'd flunk #TBATS pic.twitter.com/x6zF6fo4pQ @BadassTeachersA,,100229,1,NancyOsborne180,3/16/15,6,4,,@BadassTeachersA,#pearsoniswatching #PARCC #SBAC #TBATS,5.78E+17,https://twitter.com/NancyOsborne180/status/577661213401853952,
191,#pearsoniswatching my 4th grader just said he was scared to #optout and #Parcc is so stressful,,100247,1,MsVinciguerra,3/16/15,5,0,,,#pearsoniswatching #optout #Parcc,5.78E+17,https://twitter.com/MsVinciguerra/status/577629497664618496,
192,#RefuseTheTest #OptOut our children are more than a test score! @NYGovCuomo,,100277,1,ChrisCamps76,3/15/15,0,0,,@NYGovCuomo,#RefuseTheTest #OptOut,5.77E+17,https://twitter.com/ChrisCamps76/status/577298880225787904,
193,#SBAC Math Test Not Immune To Problems Either http://missourieducationwatchdog.com/sbac-math-test-not-immune-to-problems-either/ÔøΩ__ÔøΩ_ #stopcommoncore #nced,#SBAC Math Test Not Immune To Problems Either http://missourieducationwatchdog.com/sbac-math-test-not-immune-to-problems-either/ … #stopcommoncore #nced,100198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,#StopCommonCore & #pearson now! High stakes testing destroying #curriculum &spying on our kids. #pearsoniswatching pic.twitter.com/as1s0lFk1e,,100053,1,RonCshoney,3/24/15,9,7,,,#StopCommonCore #pearson #curriculum #pearsoniswatching,5.81E+17,https://twitter.com/RonCshoney/status/580516297970200576,
195,#StopCommonCore #CommonCore #pearsonout #Michigan #AlgonacSchoolBoard #standup4kids #education #pearsoniswatching pic.twitter.com/7OSuyf7Lqn,,152,1,RonCshoney,3/31/15,2,0,,,#StopCommonCore #CommonCore #pearsonout #Michigan #AlgonacSchoolBoard #standup4kids #education #pearsoniswatching,5.83E+17,https://twitter.com/RonCshoney/status/583035574581252097,
