username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
EdTechlete,5/24/2013,0,2,Missed the NJDOE & EducationSuperHighway's #PARCC Speedtest webinar yesterday? View the recording here https://sas.elluminate.com/mrlst?suid=M.8E1486F85AB0770CE60D7E8577914F&sid=585 … #njed #edtech,,,#PARCC #njed #edtech,3.38E+17,https://twitter.com/EdTechlete/status/337940016053485569,,
nikiglanz,5/24/2013,0,1,Telecoms Sell Customer Data #privacy #safety #security #bigdata #profit #smartphone #track #ads #optout #marketinghttp://online.wsj.com/article/SB10001424127887323463704578497153556847658.html?KEYWORDS=telecom+++data+++customers …,,,#privacy #safety #security #bigdata #profit #smartphone #track #ads #optout #marketinghttp,3.38E+17,https://twitter.com/nikiglanz/status/337935075679272960,,
opt_ill,5/24/2013,0,0,Market turbulence poses first serious test for Abenomics - Reuters http://bit.ly/10QL04B,,,,3.38E+17,https://twitter.com/opt_ill/status/337873141281988608,,
Be1ngDD,5/24/2013,0,0,Friend called me after years to ask if his sister should opt for a development job or testing job. AREY KAY YEDAY KA TU! TILA VICHAR NA!,,,,3.38E+17,https://twitter.com/Be1ngDD/status/337859726589194241,,
lapham_katie,5/24/2013,0,1,@Stoptesting15 From Western NY: reasons behind parent-led #optout of tests. Why not happening in NYC? #NYCschools? http://atthechalkface.com/2013/05/23/wow-a-tremendous-media-report-about-high-stakes-testing/ …,,@Stoptesting15,#optout #NYCschools,3.38E+17,https://twitter.com/lapham_katie/status/337823135258791937,,
2011teacher,5/23/2013,1,2,Blue Hat Movement Allowing Teachers to Teach & Students to Learn Once Again -Our Videos http://wp.me/P3nsph-o #edchat #education #optout,,,#edchat #education #optout,3.38E+17,https://twitter.com/2011teacher/status/337801968116457472,,
2011teacher,5/23/2013,2,0,This is awesome! -- Sept 17 The Blue Hat Day boycott. http://wp.me/P3nsph-q @wordpressdotcom #education #edchat #soschat #optout #sept17,,@wordpressdotcom,#education #edchat #soschat #optout #sept17,3.38E+17,https://twitter.com/2011teacher/status/337800625385521152,,
2011teacher,5/23/2013,1,1,Good for her!!! -- This Student Refused to Take the State Test http://wp.me/p2odLa-4MW  via @DianeRavitch #optout #education #soschat,,@DianeRavitch,#optout #education #soschat,3.38E+17,https://twitter.com/2011teacher/status/337799839486189568,,
NusratHMoore,5/23/2013,0,0,Lesson is: NEVER opt against a chance to go to Mecca Madinah or Jerusalem coz that is ALWAYS only God's test. ALWAYS!,,,,3.38E+17,https://twitter.com/NusratHMoore/status/337788966986215424,,
happyfoxchat,5/23/2013,0,0,New Zealand opt for all-pace attack in 2nd Test http://bit.ly/14FbCu2 #Cricket,,,#Cricket,3.38E+17,https://twitter.com/happyfoxchat/status/337777099274342400,,
dhaliaaaa,5/23/2013,0,0,@BriandaItzel in the fall :p but I know I need to take a test there to opt out of college algebra..it's a long story lol.,,@BriandaItzel,,3.38E+17,https://twitter.com/dhaliaaaa/status/337775408755912704,,
CNNnews18,5/23/2013,0,0,RT @ibnliveSports: New Zealand opt for all-pace attack in 2nd Test http://ibnlive.in.com/news/new-zealand-opt-for-allpace-attack-in-2nd-test/393568-78.html …,,@ibnliveSports,,3.38E+17,https://twitter.com/CNNnews18/status/337767998771306496,,
cricketnext,5/23/2013,0,0,New Zealand opt for all-pace attack in 2nd Test http://ibnlive.in.com/news/new-zealand-opt-for-allpace-attack-in-2nd-test/393568-78.html …,,,,3.38E+17,https://twitter.com/cricketnext/status/337767993532620800,,
News18Sports,5/23/2013,0,0,New Zealand opt for all-pace attack in 2nd Test http://ibnlive.in.com/news/new-zealand-opt-for-allpace-attack-in-2nd-test/393568-78.html …,,,,3.38E+17,https://twitter.com/News18Sports/status/337767988604321793,,
mrsugerman,5/23/2013,0,0,Every parent who hires me to tutor their kid must promise to #optout of the STAR test or I won't tutor their kid. So far so good!,,,#optout,3.38E+17,https://twitter.com/mrsugerman/status/337764253161365504,,
tfteacher,5/23/2013,2,0,Every parent who hires me to tutor their kid must promise to #optout of the STAR test or I won't tutor their kid. So far so good!,,,#optout,3.38E+17,https://twitter.com/tfteacher/status/337764251416547328,,
wmgavette,5/23/2013,0,0,Education should ALWAYS be local. As there is no way for a local district to opt out Common Core is a bad way to... http://fb.me/1OSvz4Iif,,,,3.38E+17,https://twitter.com/wmgavette/status/337762787642183680,,
AwamJiPukar,5/23/2013,0,0,"Aj ka Swall Test Ckt 1 Calendar Year Mn Zyada Runs kis BatisMan ne Bnae Hn? Opt! Tandulkar Pointing Yousf Dysilwa: BYMMithanHk 03413804628""",,,,3.38E+17,https://twitter.com/AwamJiPukar/status/337749846305935360,,
teachinghumans,5/23/2013,3,2,We need explorers not miners. Quit the data game. #edchat #edtech #parcc #rttt #edreform #ohedchat,,,#edchat #edtech #parcc #rttt #edreform #ohedchat,3.38E+17,https://twitter.com/teachinghumans/status/337740988858634240,,
Wowzers,5/23/2013,0,0,An early verdict is in on #PARCC and #SmarterBalanced's ability to assess higher-level thought - http://hub.am/198hHC7 #CommonCore #CCChat,,,#PARCC #SmarterBalanced #CommonCore #CCChat,3.38E+17,https://twitter.com/Wowzers/status/337734696693813250,,
TestTroublemake,5/23/2013,1,0,@johnkuhn Parents in #Texas are opting out of #highstakestesting Are #superintendents? About time they do! #optout http://fb.me/1v2GsWams,,@johnkuhn,#Texas #highstakestesting #superintendents #optout,3.38E+17,https://twitter.com/TestTroublemake/status/337733936803377152,,
thefooshshow,5/23/2013,0,0,OPT OUT OF THE STATE TEST: The National Movement #edreform http://www.facebook.com/groups/264594250218348/ … @MOStudentsFirst @StudentsFirst @MichelleRhee,,@MOStudentsFirst @StudentsFirst @MichelleRhee,#edreform,3.38E+17,https://twitter.com/thefooshshow/status/337722657778839554,,
Daniel_Vettori,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell Vettori out of second test http://bit.ly/13NuyUt,,,,3.38E+17,https://twitter.com/Daniel_Vettori/status/337715240059932674,,
Wowzers,5/23/2013,0,0,"Seek digital educational platforms that mirror the #PARCC and #SmarterBalanced’s digital functions."" Learn why - http://hub.am/198hRcH""",,,#PARCC #SmarterBalanced,3.38E+17,https://twitter.com/Wowzers/status/337707369867923456,,
Anniepalooza,5/23/2013,0,0,Yay win for common sense this morning. DH & partner meant to be travelling for a training day decided to opt out because of the weather.,,,,3.38E+17,https://twitter.com/Anniepalooza/status/337702216385323009,,
SBACIL,5/23/2013,0,0,Thank you @CrainsChicago for shining a light on importance of #smallbiz or lack thereof in this state http://ow.ly/llbUu #SBAC,,@CrainsChicago,#smallbiz #SBAC,3.38E+17,https://twitter.com/SBACIL/status/337697145723428864,,
IP4PI,5/23/2013,0,1,@GovChristie still think you can take fed #Obamacare #insurance #exchange money & #optout of penalties for NJ taxpayers and employers?,,@GovChristie,#Obamacare #insurance #exchange #optout,3.38E+17,https://twitter.com/IP4PI/status/337683194470080513,,
IP4PI,5/23/2013,0,0,Check out the latest #EHR #healthIT #data compromises and #HIPAA #OCR fines #solution #optout EHR http://www.healthdatamanagement.com/news/breach-notification-hipaa-privacy-security-enforcement-fine-46172-1.html …,,,#EHR #healthIT #data #HIPAA #OCR #solution #optout,3.38E+17,https://twitter.com/IP4PI/status/337670661319307264,,
IP4PI,5/23/2013,1,0,What’s It Going to Take to Achieve #Physician Compliance for #ICD10? http://ow.ly/lkniZ  via @ICD10_Monitor #healthIT @3MHISNews #optout,,@ICD10_Monitor @3MHISNews,#Physician #ICD10 #healthIT #optout,3.38E+17,https://twitter.com/IP4PI/status/337654554130788353,,
sajidpage,5/23/2013,0,0,New Zealand opt for Bracewell Vettori out of second Test http://www.eawam.com/article/new-zealand-opt-for-bracewell-vettori-out-of-second-test …,,,,3.38E+17,https://twitter.com/sajidpage/status/337647589048610816,,
flolindy1,5/23/2013,0,0,Opting Out-Updated... http://wp.me/p3nsph-13  via @wordpressdotcom young girl told she can't go to school if she doesn't take test,,@wordpressdotcom,,3.38E+17,https://twitter.com/flolindy1/status/337632218564407296,,
peebeenl,5/23/2013,0,0,Absurd! Transacties zijn privé #optout #equens @ADnl: Grootste verwerker pintransacties wil gegevens klanten verkopen http://s.ad.nl/3446161,,@ADnl,#optout #equens,3.38E+17,https://twitter.com/peebeenl/status/337626311638007809,,
nznewsnet,5/23/2013,0,0,New Zealand Opt for Bracewell Over Vettori for Second Test http://tf.to/bdM8r,,,,3.38E+17,https://twitter.com/nznewsnet/status/337623248953016322,,
FredEnde,5/23/2013,0,0,@MrCsays Yep. There was a more detailed article about this a few weeks ago: http://www.nytimes.com/2013/05/02/education/computer-problems-in-three-states-hamper-student-proficiency-tests.html?ref=minnesota&_r=0 … #edchat #edtech #PARCC #SmarterBalanced,,@MrCsays,#edchat #edtech #PARCC #SmarterBalanced,3.38E+17,https://twitter.com/FredEnde/status/337614400611577856,,
Themuslimsnews,5/23/2013,0,0,New Zealand opt for Bracewell over Vettori for second test - http://goo.gl/q0q9p,,,,3.38E+17,https://twitter.com/Themuslimsnews/status/337608737600712706,,
sushilpunia,5/23/2013,0,0,http://ow.ly/36CBT  UPDATE 1-Cricket-New Zealand opt for Bracewell over Vettori for second test http://dlvr.it/3Q4pCX,,,,3.38E+17,https://twitter.com/sushilpunia/status/337604493506121728,,
AmyJosef,5/23/2013,0,0,Strategies from @bluehornetemail - Mobile rendering automated campaigns test and opt down #dsummit,,@bluehornetemail,#dsummit,3.38E+17,https://twitter.com/AmyJosef/status/337601315683307520,,
Pavlos_Ginatzis,5/23/2013,0,0,"If it's to pick your poison never opt to test the greatest player in the game."" #lebronjames""",,,#lebronjames,3.38E+17,https://twitter.com/Pavlos_Ginatzis/status/337600292088582145,,
VirginiaBoy_,5/23/2013,0,0,@_janiyahc can we take the test to opt out of BTA next year?,,@_janiyahc,,3.38E+17,https://twitter.com/VirginiaBoy_/status/337597722393710594,,
LJN_KEN_HEALTH,5/23/2013,0,0,#job NURSE PRACTITIONER-PRE ADMISSION TESTING-OPT-... - Froedtert Health #Milwaukee #WI http://jobsinkenosha.com/j/3673353 #jobs #ljn,,,#job #Milwaukee #WI #jobs #ljn,3.38E+17,https://twitter.com/LJN_KEN_HEALTH/status/337595556446736384,,
TheSquareMile,5/23/2013,0,0,Reuters Cricket / UPDATE 1-Cricket-New Zealand opt for Bracewell over Vettori for second test via @Reuters http://goo.gl/U3ReG,,@Reuters,,3.38E+17,https://twitter.com/TheSquareMile/status/337591567667830785,,
hotsportnews1,5/23/2013,0,0,New blog posting New Zealand Opt for Bracewell Over Vettori for Second Test - http://tinyurl.com/qa28n9z,,,,3.38E+17,https://twitter.com/hotsportnews1/status/337588047690481664,,
MrCsays,5/23/2013,0,0,#parcc shouldn't be the only focus for increase of bandwidth in your schools. I mean we do want Ss to learn in #1:1 or #byod programs #njed,,,#parcc #1 #byod #njed,3.38E+17,https://twitter.com/MrCsays/status/337586954180915200,,
AndrewTangel,5/23/2013,0,0,Healthcare giants -- UnitedHealth Aetna and Cigna -- opt out of California insurance exchange in test of #Obamacare http://www.latimes.com/business/la-fi-health-insure-2013052301895918.story …,,,#Obamacare,3.38E+17,https://twitter.com/AndrewTangel/status/337585139808866305,,
GregsHealth,5/23/2013,0,0,New Zealand opt for Bracewell over Vettori for second test: By Justin Palmer LEEDS England (Reuters) - New Ze... http://tinyurl.com/ngeu7as,,,,3.38E+17,https://twitter.com/GregsHealth/status/337583210626170881,,
daniiheritage,5/23/2013,0,0,The chemistry test today is going to rape me. And if I can't opt out of the semester test because of it. Watch out.,,,,3.38E+17,https://twitter.com/daniiheritage/status/337582957567045632,,
ssshforwomen,5/23/2013,0,0,RT @myhealthyoc: What do experts say about genetic testing that led Angelina Jolie to opt for double #mastectomy? --> http://ow.ly/liuAY,,@myhealthyoc,#mastectomy,3.38E+17,https://twitter.com/ssshforwomen/status/337582713508880384,,
LMechanics,5/23/2013,1,1,Please check out Common Core Scoops by R Zullo @scoopit http://sco.lt/8aaMvx  free newsfeed on #CCSS #ELA #Math #PARCC,,@scoopit,#CCSS #ELA #Math #PARCC,3.38E+17,https://twitter.com/LMechanics/status/337582174163316736,,
NeutralityPolls,5/23/2013,0,0,New Zealand opt for Bracewell Vettori out of second test - LEEDS (Reuters) - New Zealand will go with a four-seam... http://ow.ly/2x6gWm,,,,3.38E+17,https://twitter.com/NeutralityPolls/status/337577022433947648,,
NeutralityPolls,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell Vettori out of second test http://ow.ly/2x6gWn,,,,3.38E+17,https://twitter.com/NeutralityPolls/status/337577022110978048,,
NeutralityPolls,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell over Vettori for second test http://ow.ly/2x6gWl,,,,3.38E+17,https://twitter.com/NeutralityPolls/status/337577022060642304,,
MrCsays,5/23/2013,0,0,@FredEnde I mean you best be looking to up it much higher than that.. see students as three users each. Go from there #parcc,,@FredEnde,#parcc,3.38E+17,https://twitter.com/MrCsays/status/337575354300497922,,
MrCsays,5/23/2013,0,0,@FredEnde Raising a schools bandwidth shouldnt be done for tests like #parcc but rather for #byod or #1:1 programs.,,@FredEnde,#parcc #byod #1,3.38E+17,https://twitter.com/MrCsays/status/337575216010129408,,
jesslahey,5/23/2013,0,0,Nice piece on opting out of testing @nikhilgoya_l! http://www.thenation.com/blog/174468/why-i-opted-out-appr# … #edu,,@nikhilgoya_l,# #edu,3.38E+17,https://twitter.com/jesslahey/status/337574855564210177,,
lalaing1,5/23/2013,0,0,New Zealand opt for Bracewell over Vettori for second test: LEEDS England (Reuters) - New Zealand will go with a four-seamer attack ...,,,,3.38E+17,https://twitter.com/lalaing1/status/337573917088702464,,
MrCsays,5/23/2013,0,0,#parcc wants 100mbps... my recc? You better be higher than that if you want a proper #1:1 or #byod program ... #edchat #njed,,,#parcc #1 #byod #edchat #njed,3.38E+17,https://twitter.com/MrCsays/status/337573777753927681,,
sportize,5/23/2013,0,0,#cricket-New Zealand opt for Bracewell over Vettori for second test http://j.mp/1abuEIR,,,#cricket,3.38E+17,https://twitter.com/sportize/status/337572262217646081,,
MrCsays,5/23/2013,0,1,Larry Cocco - head of Ed Tech in NJ presenting on #parcc webinar #njed,,,#parcc #njed,3.38E+17,https://twitter.com/MrCsays/status/337571438510895104,,
MrCsays,5/23/2013,0,0,Hitting up both #parcc webinars this morning! #njed,,,#parcc #njed,3.38E+17,https://twitter.com/MrCsays/status/337570398633877505,,
UK_Cricket_News,5/23/2013,0,0,UPDATE 1-Cricket-New Zealand opt for Bracewell over Vettori for second test - Reuters http://aggbot.com/Cricket-News/article/19641826 …,,,,3.38E+17,https://twitter.com/UK_Cricket_News/status/337567850824888321,,
EdTechlete,5/23/2013,1,0,11a.m. NJDOE & #PARCC Speedtest webinar for district charter school & testing site technology directors: https://sas.elluminate.com/m.jnlp?password=M.7978C90935E83CFE1188D2EF4C9529&sid=585 … #njed,,,#PARCC #njed,3.38E+17,https://twitter.com/EdTechlete/status/337567538546348032,,
EdTechlete,5/23/2013,0,1,Can't make the 10am #PARCC NJDOE webinar? View the archived recording here. https://sas.elluminate.com/mrlst?suid=M.BE53C51FE47F3BF07196E37D8D807C&sid=585 … #njed,,,#PARCC #njed,3.38E+17,https://twitter.com/EdTechlete/status/337567261961383936,,
EdTechlete,5/23/2013,1,0,#PARCC 10am NJDOE webinar for chief school admins district/charter lead persons & testing site leaders https://sas.elluminate.com/m.jnlp?password=M.A43576B57B06324B3041010B8B6171&sid=585 … #njed,,,#PARCC #njed,3.38E+17,https://twitter.com/EdTechlete/status/337566943211053056,,
EdTechlete,5/23/2013,0,0,Is your District ready for PARCC? NJ District Speed Test Webinar starts at 10am today. https://sas.elluminate.com/m.jnlp?password=M.A43576B57B06324B3041010B8B6171&sid=585 … #njed #PARCC #edtech,,,#njed #PARCC #edtech,3.38E+17,https://twitter.com/EdTechlete/status/337566170750255104,,
PedroDionisioo,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell over Vettori for second test: * Bracewell in Vettori will not be risked... http://yhoo.it/14C6Nlc,,,,3.38E+17,https://twitter.com/PedroDionisioo/status/337565514505261058,,
starspoon_,5/23/2013,0,0,#Cricket #ipl: Cricket-New Zealand opt for Bracewell Vettori out of second test http://ipl.starspoon.com/article/85d8d4a9ced81c16b698142cc887e079?utm_campaign=cherry-picker&utm_medium=twitter&utm_source=starspoon&utm_term=DouglasBracewell …,,,#Cricket #ipl,3.38E+17,https://twitter.com/starspoon_/status/337563385782755328,,
cricket_spoon,5/23/2013,0,0,#Cricket #ipl: Cricket-New Zealand opt for Bracewell Vettori out of second test http://ipl.starspoon.com/article/85d8d4a9ced81c16b698142cc887e079?utm_campaign=cherry-picker&utm_medium=twitter&utm_source=starspoon&utm_term=DouglasBracewell …,,,#Cricket #ipl,3.38E+17,https://twitter.com/cricket_spoon/status/337563385522704384,,
roadrunnergreg,5/23/2013,0,0,New Zealand opt for Bracewell Vettori out of second test: LEEDS England (Reuters) - New Zealand will go with... http://tinyurl.com/ngeu7as,,,,3.38E+17,https://twitter.com/roadrunnergreg/status/337560283629355009,,
optimismnow3,5/23/2013,0,0,New Zealand opt for Bracewell Vettori out of second test http://adf.ly/PQm86,,,,3.38E+17,https://twitter.com/optimismnow3/status/337559766144528385,,
optimismnow3,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell Vettori out of second test http://adf.ly/PQm84,,,,3.38E+17,https://twitter.com/optimismnow3/status/337559764471009280,,
sushilpunia,5/23/2013,0,0,http://ow.ly/36CBT  Cricket-New Zealand opt for Bracewell Vettori out of second test http://dlvr.it/3Q2bwk,,,,3.38E+17,https://twitter.com/sushilpunia/status/337559087707480064,,
diankohler,5/23/2013,0,0,New Zealand Opt for Bracewell Vettori Out of Second Test: New Zealand will go with a four-seamer attack and w... http://nyti.ms/14C00aY,,,,3.38E+17,https://twitter.com/diankohler/status/337558967779741696,,
UK_Cricket_News,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell Vettori out of second test - Reuters http://aggbot.com/Cricket-News/article/19641608 …,,,,3.38E+17,https://twitter.com/UK_Cricket_News/status/337557308454338564,,
DTNCricket,5/23/2013,0,0,DTN Cricket: New Zealand opt for Bracewell Vettori out of second test: LEEDS England (Reuters) - New Zealand... http://yhoo.it/16TSDjH,,,,3.38E+17,https://twitter.com/DTNCricket/status/337554043591344128,,
GregsHealth,5/23/2013,0,0,New Zealand opt for Bracewell Vettori out of second test: LEEDS England (Reuters) - New Zealand will go with... http://tinyurl.com/ngeu7as,,,,3.38E+17,https://twitter.com/GregsHealth/status/337553974469226497,,
Lifeinsurance19,5/23/2013,0,0,#Beauty and A Beat #masdirin New Zealand Opt for Bracewell Vettori Out of Second Test #news,,,#Beauty #masdirin #news,3.38E+17,https://twitter.com/Lifeinsurance19/status/337553786954469378,,
anku6,5/23/2013,0,0,Cricket-New Zealand opt for Bracewell Vettori out of second test: LEEDS England May 23 (Reuters) - New Zeal... http://bit.ly/14BTfWX,,,,3.38E+17,https://twitter.com/anku6/status/337553220014575616,,
YahooSG,5/23/2013,0,0,New Zealand opt for Bracewell Vettori out of second test http://bit.ly/11eyvpd,,,,3.38E+17,https://twitter.com/YahooSG/status/337552758888624129,,
sportize,5/23/2013,0,0,#cricket-New Zealand opt for Bracewell Vettori out of second test http://j.mp/1ab9TwX,,,#cricket,3.38E+17,https://twitter.com/sportize/status/337549000414744576,,
McAllister790,5/23/2013,0,3,Can we opt out of taking the elements test? #please,,,#please,3.38E+17,https://twitter.com/McAllister790/status/337544694219296769,,
SBACIL,5/23/2013,0,1,Stop by @morainevalley today at noon for the #SBAC Member Lunch if you’re registered! #smallbiz http://ow.ly/l65R3,,@morainevalley,#SBAC #smallbiz,3.38E+17,https://twitter.com/SBACIL/status/337531231531044864,,
TSelkl,5/23/2013,0,0,Eternal problem of a la carte Europe as faced by UK http://bit.ly/12KjWbW @LSEEuroppblog #EU #optout #optin #itismoneythatmatters,,@LSEEuroppblog,#EU #optout #optin #itismoneythatmatters,3.37E+17,https://twitter.com/TSelkl/status/337494703811485696,,
ParentVoicesNY,5/22/2013,0,0,The Low-Stakes Way to Make a Statement about High-Stakes Tests: Field Test Opt Out. Find everything you need in... http://fb.me/UzTuGo4q,,,,3.37E+17,https://twitter.com/ParentVoicesNY/status/337446724413046784,,
johndashpaul,5/22/2013,0,0,ESPN text alerts is hot for LeBron. #optout #nbaplayoffs,,,#optout #nbaplayoffs,3.37E+17,https://twitter.com/johndashpaul/status/337441401014988801,,
ChillRill,5/22/2013,0,0,Can I just opt out of these test tomorrow?,,,,3.37E+17,https://twitter.com/ChillRill/status/337431364796293121,,
DrGaryWaddell,5/22/2013,0,0,CA kids poised to be the winners in shift to #SBAC assessments as instruction focuses on critical thinking collaboration and performance,,,#SBAC,3.37E+17,https://twitter.com/DrGaryWaddell/status/337412473110016000,,
Peeeeezus,5/22/2013,0,0,@JohnnyDiaz100 2 years bro #OptOut,,@JohnnyDiaz100,#OptOut,3.37E+17,https://twitter.com/Peeeeezus/status/337411935064686592,,
vorthmann,5/22/2013,0,0,@dschoening I haven't read the whole thing yet but the likelihood of #sbac is real now!,,@dschoening,#sbac,3.37E+17,https://twitter.com/vorthmann/status/337401075600609280,,
buttercupcheol,5/22/2013,0,0,Lalala i'm so bored don't wanna take the Spanish OPT tomorrow or any exam or any form of test or work,,,,3.37E+17,https://twitter.com/buttercupcheol/status/337391708415348736,,
CarrieAnnTripp,5/22/2013,0,0,Who else applied to be a #sbac #rangefinder ?,,,#sbac #rangefinder,3.37E+17,https://twitter.com/CarrieAnnTripp/status/337384637997408257,,
TrailerBoutique,5/22/2013,0,0,What are the experts saying about the genetic testing that led Angelina Jolie to opt for a double #mastectomy? --> http://ow.ly/liuAY,,,#mastectomy,3.37E+17,https://twitter.com/TrailerBoutique/status/337366044484186112,,
ziyatong,5/22/2013,0,0,@itsybitsypai @PaiMath Interesting in theory but I would never enroll in that class! #optout (I do agree w/ attention to eating however ;>),,@itsybitsypai @PaiMath,#optout,3.37E+17,https://twitter.com/ziyatong/status/337361280757272576,,
LMechanics,5/22/2013,0,0,PARCC Technology Laptop or iPad: How ready are you for the #PARCC #edtech guidelines? | @scoopit http://sco.lt/8YG1K5,,@scoopit,#PARCC #edtech,3.37E+17,https://twitter.com/LMechanics/status/337343889184788480,,
IP4PI,5/22/2013,2,0,@edelbergassoc @CMSGov How to prepare #physician #doctor for IVD 10 #optout #Medicare #healthinsurance Opt for #healthfreedom @IP4PI,,@edelbergassoc @CMSGov @IP4PI,#physician #doctor #optout #Medicare #healthinsurance #healthfreedom,3.37E+17,https://twitter.com/IP4PI/status/337330874532130816,,
lapham_katie,5/22/2013,0,0,Evidence of cracks in Market-driven Ed reform. #NYCschools #Edreform #highstakestesting #optout Slate Homepage http://mobile.slate.com/articles/news_and_politics/science/2013/05/cheating_scandals_and_parent_rebellions_high_stakes_school_testing_is_doomed.single.html …,,,#NYCschools #Edreform #highstakestesting #optout,3.37E+17,https://twitter.com/lapham_katie/status/337330720399847425,,
_Venky_B,5/22/2013,0,0,“@Nikz_MUFC: I hate it when my friends add me on random WhatsApp group.” #whatsapp needs a feature upgrade #OptOut,,@Nikz_MUFC,#whatsapp #OptOut,3.37E+17,https://twitter.com/_Venky_B/status/337308788602314754,,
knightofgood,5/22/2013,0,0,@FundEducationFL The only misinformation about common core is coming from @Tony_Bennett If we have to boycott -and opt out- we will!,,@FundEducationFL @Tony_Bennett,,3.37E+17,https://twitter.com/knightofgood/status/337308459643052032,,
F1sT,5/22/2013,1,0,if they are all about the player. shouldnt the player have a choice people. #OPTOUT OPTION IN GHOSTS? can i please turn off slide? or lean?,,,#OPTOUT,3.37E+17,https://twitter.com/F1sT/status/337300214178271232,,
SBACIL,5/22/2013,0,0,Come out and mingle at the #SBAC and @BNIChicago Downtown Joint #HappyHour tonight! http://ow.ly/l1Ius,,@BNIChicago,#SBAC #HappyHour,3.37E+17,https://twitter.com/SBACIL/status/337289873352425472,,
OmniSyncServer,5/22/2013,0,5,Want OmniPresence access? Log into account opt into the test program & update your account's email address - that's how we'll notify you.,,,,3.37E+17,https://twitter.com/OmniSyncServer/status/337266388265742336,,
denversolarguy,5/22/2013,0,0,TC PipeLines LP: TC PipeLines LP Announces Closing of Common Unit Offering and Exercise of Underwriters' Opt... http://bit.ly/184Ehwx,,,,3.37E+17,https://twitter.com/denversolarguy/status/337260961989804032,,
denversolarguy,5/22/2013,0,0,TC PipeLines LP: TC PipeLines LP Announces Closing of Common Unit Offering and Exercise of Underwriters' Opt... http://bit.ly/1a70kiy,,,,3.37E+17,https://twitter.com/denversolarguy/status/337252130345857024,,
MollyClaman,5/22/2013,0,2,This Chemistry test is my only hope for opting out. I check my grade failed the first half.,,,,3.37E+17,https://twitter.com/MollyClaman/status/337250578092675072,,
AngelicaLilana,5/22/2013,0,0,-At the eye docs- Opt: Can you read these letters and numbers you see in this book? its to test out blindness *gets everything right*,,,,3.37E+17,https://twitter.com/AngelicaLilana/status/337248097119903744,,
SBACIL,5/22/2013,0,0,Find out about the #SBAC’s growing coalition of businesses at @morainevalley for the Member Lunch on 5/23! #smallbiz http://ow.ly/l65Ge,,@morainevalley,#SBAC #smallbiz,3.37E+17,https://twitter.com/SBACIL/status/337244556837912577,,
alsgillespie,5/22/2013,0,0,#PARCC has official killed the single answer multiple choice question. Thank God.,,,#PARCC,3.37E+17,https://twitter.com/alsgillespie/status/337219800247963649,,
KwasiJon,5/22/2013,0,0,@RichardMumo that's a common misconception. Look at the number of people opting to use bikes as their preferred mode of transportation....,,@RichardMumo,,3.37E+17,https://twitter.com/KwasiJon/status/337218482582192129,,
PracticalMama,5/22/2013,0,0,@breezydayz @JMOChicago What do the kids who opt out do while the others in the class are taking the test?,,@breezydayz @JMOChicago,,3.37E+17,https://twitter.com/PracticalMama/status/337209389264019459,,
HDefend,5/22/2013,1,1,In solidarity/MT @jeffbcdm: Protests against #CPSclosings  #Scrapthemap boycott & #optout all abt #EducationSpringhttp://bit.ly/YZ16MJ,,@jeffbcdm,#CPSclosings #Scrapthemap #optout #EducationSpringhttp,3.37E+17,https://twitter.com/HDefend/status/337208798131408896,,
travelope_debug,5/22/2013,0,0,TEST TO: MESSAGE: Luxury self-catering Cornish villas sleeping up to five guests - includes 50% off local dining and a dog-friendly opt...,,,,3.37E+17,https://twitter.com/travelope_debug/status/337201265123680256,,
jeffbcdm,5/22/2013,3,0,Protests against #CPSclosings  #Scrapthemap boycott & #optout the tests all interconnected to an #EducationSpring http://bit.ly/YZ16MJ,,,#CPSclosings #Scrapthemap #optout #EducationSpring,3.37E+17,https://twitter.com/jeffbcdm/status/337201096999190529,,
steinman,5/22/2013,0,1,East Jordan purchases iPad minis for every student #K12. I'm curious what their plans are for #SBAC: http://bit.ly/10TmXml #edtech #edchat,,,#K12 #SBAC #edtech #edchat,3.37E+17,https://twitter.com/steinman/status/337171311682011136,,
jed_ellis,5/22/2013,0,0,Short back and combover time.. #Freshfortheweekend #sbac,,,#Freshfortheweekend #sbac,3.37E+17,https://twitter.com/jed_ellis/status/337158997851377665,,
ArellyCamarillo,5/22/2013,0,0,#SBAC,,,#SBAC,3.37E+17,https://twitter.com/ArellyCamarillo/status/337088336629993472,,
thanapong2515,5/21/2013,0,0,ทริปพัทยากับเพื่อน #SBAC จาก Yingoil Louis - https://socialcam.com/s/gJWT3TtC,,,#SBAC,3.37E+17,https://twitter.com/thanapong2515/status/337066234795421696,,
changethestakes,5/21/2013,2,1,Did you know that “field testing” is coming to the #NYCSchools in June? Check out @ChangetheStakes info to opt out http://bit.ly/18Mnlto,,@ChangetheStakes,#NYCSchools,3.37E+17,https://twitter.com/changethestakes/status/337053417837064192,,
